longitude,latitude,housing_age,total_rooms,households,median_income,house_value,ocean_proximity
-121.98,37.53,26,3179,639,4.1947,222700,<1H OCEAN
-121.99,37.54,26,2332,404,5.388,225000,<1H OCEAN
-121.99,37.54,18,3584,661,3.9444,240100,<1H OCEAN
-121.99,37.54,28,3046,516,5.3283,227900,<1H OCEAN
-121.99,37.55,28,2414,453,4.8403,268600,<1H OCEAN
-122,37.54,29,4133,749,5.1616,275100,<1H OCEAN
-122,37.55,27,6103,1134,4.1591,332400,<1H OCEAN
-122,37.54,26,1910,357,5.8325,298900,<1H OCEAN
-121.99,37.53,25,5405,923,5.0423,222200,<1H OCEAN
-121.97,37.52,26,3761,613,4.5317,232600,<1H OCEAN
-121.97,37.51,25,3333,504,5.4359,258300,<1H OCEAN
-121.97,37.52,23,4925,894,5.0824,230900,<1H OCEAN
-121.95,37.52,33,3994,763,5.2308,196900,<1H OCEAN
-121.96,37.51,22,5811,1086,4.4107,223500,<1H OCEAN
-121.96,37.52,26,4211,734,5.2396,223900,<1H OCEAN
-121.93,37.53,27,5532,960,4.7478,243500,<1H OCEAN
-121.92,37.53,7,28258,3701,8.4045,451100,<1H OCEAN
-121.92,37.49,10,7441,1466,5.1643,193100,<1H OCEAN
-121.92,37.48,23,4314,623,5.3813,264400,<1H OCEAN
-121.92,37.47,26,2016,357,6.0878,246900,<1H OCEAN
-121.91,37.47,13,5377,760,6.868,337300,<1H OCEAN
-122,37.51,7,6352,1316,4.9867,181700,<1H OCEAN
-121.92,37.72,4,7477,1506,5.1437,299400,<1H OCEAN
-121.92,37.72,22,4638,687,5.347,219500,<1H OCEAN
-121.91,37.71,25,4377,671,5.7233,231800,<1H OCEAN
-121.93,37.72,26,3816,642,4.4697,221300,<1H OCEAN
-121.93,37.72,26,2806,444,4.9107,213800,<1H OCEAN
-121.93,37.71,26,4822,805,4.2281,206000,<1H OCEAN
-121.94,37.71,15,6473,970,5.0143,271100,<1H OCEAN
-121.96,37.71,6,8072,1062,7.2494,336500,<1H OCEAN
-121.92,37.69,13,3742,559,7.316,285400,<1H OCEAN
-121.92,37.68,23,1655,219,7.2211,291900,<1H OCEAN
-121.93,37.7,3,2456,456,4.4087,225600,<1H OCEAN
-121.91,37.69,23,2179,299,5.9345,259600,<1H OCEAN
-121.91,37.68,20,1804,260,6.177,262900,<1H OCEAN
-121.91,37.68,18,3631,520,5.817,257300,<1H OCEAN
-121.91,37.69,18,2876,427,6.3132,259200,<1H OCEAN
-121.89,37.68,12,7490,1136,6.3373,339700,<1H OCEAN
-121.89,37.68,22,1898,245,6.2918,334100,<1H OCEAN
-121.9,37.67,15,2130,285,7.2639,332400,<1H OCEAN
-121.9,37.67,7,9540,1229,7.4353,389800,<1H OCEAN
-121.87,37.57,13,5519,825,7.0691,393200,<1H OCEAN
-121.89,37.69,4,6159,1241,3.62,139300,<1H OCEAN
-121.94,37.73,22,1980,290,6.2726,258200,<1H OCEAN
-121.94,37.73,22,6719,994,6.1265,260300,<1H OCEAN
-121.93,37.73,23,2564,351,6.2048,275000,<1H OCEAN
-121.93,37.73,8,831,224,3.375,350000,<1H OCEAN
-121.95,37.74,19,1127,167,6.3325,250000,<1H OCEAN
-121.95,37.74,19,5721,813,6.2631,266000,<1H OCEAN
-121.94,37.75,17,2559,377,6.2781,269800,<1H OCEAN
-121.92,37.73,24,1407,295,2.4821,157200,<1H OCEAN
-121.93,37.74,16,3326,402,6.8806,343500,<1H OCEAN
-121.94,37.75,16,5121,761,6.6204,296100,<1H OCEAN
-121.97,37.79,17,5688,773,6.6131,312500,<1H OCEAN
-121.98,37.8,17,3354,425,7.6473,345800,<1H OCEAN
-121.98,37.8,16,2498,343,8.155,343700,<1H OCEAN
-121.98,37.81,18,2903,372,5.5921,359100,<1H OCEAN
-121.96,37.81,12,6488,765,8.3188,403400,<1H OCEAN
-121.97,37.8,17,3279,381,7.9168,356000,<1H OCEAN
-121.94,37.8,8,11336,1555,7.8287,369200,<1H OCEAN
-121.97,37.79,16,3873,501,6.7857,341300,<1H OCEAN
-121.95,37.78,4,14652,2579,6.3942,356700,<1H OCEAN
-121.96,37.76,8,3865,432,9.7037,425100,<1H OCEAN
-121.94,37.76,4,6875,1307,4.6932,356100,<1H OCEAN
-121.93,37.76,5,2255,258,10.3345,461400,<1H OCEAN
-121.92,37.74,8,452,43,12.5915,432400,<1H OCEAN
-121.93,37.78,2,227,49,3.1591,434700,<1H OCEAN
-121.96,37.74,2,200,9,15.0001,350000,<1H OCEAN
-121.97,37.76,8,3743,567,6.7027,381900,<1H OCEAN
-121.97,37.77,13,7241,947,7.2216,324600,<1H OCEAN
-121.98,37.74,8,2865,417,7.9393,399300,<1H OCEAN
-122,37.82,20,2206,432,4.6042,256400,<1H OCEAN
-121.99,37.82,22,1248,269,3.375,200000,<1H OCEAN
-121.99,37.77,14,8213,1286,5.1755,294800,<1H OCEAN
-121.99,37.81,17,465,75,4.9018,188500,<1H OCEAN
-121.99,37.83,16,2939,396,8.0839,372000,<1H OCEAN
-121.98,37.82,18,9117,1167,8.003,351300,<1H OCEAN
-121.95,37.81,5,7178,907,9.0776,450400,<1H OCEAN
-123.91,41.68,22,1880,314,2.9688,152700,<1H OCEAN
-123.83,41.88,18,1504,258,3.13,116700,<1H OCEAN
-124.02,40.8,22,2588,442,3.9792,133900,<1H OCEAN
-123.74,40.66,25,2395,375,3.0469,136000,<1H OCEAN
-123.76,41.03,24,2386,414,2.0644,79800,<1H OCEAN
-123.85,41.32,31,938,157,1.0486,36700,<1H OCEAN
-123.72,41.09,19,1970,363,1.8208,50000,<1H OCEAN
-123.63,41.11,19,1797,327,1.4911,59200,<1H OCEAN
-123.66,41.3,22,1580,264,1.8065,62700,<1H OCEAN
-124.01,40.97,21,1513,301,3.538,102700,<1H OCEAN
-124,40.92,29,1429,266,2.9485,98800,<1H OCEAN
-124.01,40.89,28,1470,314,2.4559,75600,<1H OCEAN
-123.98,40.88,41,1719,336,2.6923,84200,<1H OCEAN
-123.88,40.93,28,1272,220,3.2891,106300,<1H OCEAN
-124.02,40.72,28,3513,598,3.8095,119900,<1H OCEAN
-124.05,40.59,32,1878,353,3.4408,95200,<1H OCEAN
-124.09,40.55,24,2978,480,2.7644,97300,<1H OCEAN
-123.96,40.57,31,1854,310,2.3167,92600,<1H OCEAN
-124.14,40.58,25,1899,355,2.6987,92500,<1H OCEAN
-124.14,40.57,29,2864,562,2.1354,75100,<1H OCEAN
-124.11,40.57,33,1348,236,2.4896,74100,<1H OCEAN
-124.13,40.55,38,544,91,3.25,94800,<1H OCEAN
-124.1,40.5,30,1927,374,2.2357,72300,<1H OCEAN
-124.1,40.5,42,2380,504,1.7574,57500,<1H OCEAN
-124.09,40.44,38,2220,401,2.3947,70500,<1H OCEAN
-124.1,40.47,52,1196,265,3.5345,55000,<1H OCEAN
-124.03,40.45,34,1006,158,2.6094,71300,<1H OCEAN
-124,40.22,16,2088,326,1.319,70700,<1H OCEAN
-123.84,40.28,28,2809,438,2.0962,74000,<1H OCEAN
-123.68,40.24,31,1852,359,1.725,54300,<1H OCEAN
-123.82,40.16,19,2283,453,1.2227,76800,<1H OCEAN
-123.82,40.12,33,2985,486,2.087,82400,<1H OCEAN
-123.75,40.11,35,2052,402,1.9625,101500,<1H OCEAN
-123.78,40.05,17,2019,347,2.1864,101900,<1H OCEAN
-123.07,39.12,24,1098,145,3.8333,92600,<1H OCEAN
-122.99,39.02,14,1582,273,3.45,164100,<1H OCEAN
-122.92,38.97,20,2067,333,2.9934,134200,<1H OCEAN
-122.89,38.93,20,1214,223,2.7188,105700,<1H OCEAN
-122.83,38.89,11,640,90,3.4514,100000,<1H OCEAN
-122.74,38.83,12,4515,528,3.3531,90800,<1H OCEAN
-118.27,34.27,27,5205,888,6.1946,276100,<1H OCEAN
-118.28,34.26,32,1079,167,4.9833,213000,<1H OCEAN
-118.29,34.26,33,3177,612,4.008,191100,<1H OCEAN
-118.3,34.26,37,2824,573,3.5568,184500,<1H OCEAN
-118.3,34.26,42,2186,439,4.81,191900,<1H OCEAN
-118.28,34.25,35,2045,407,3.5214,197600,<1H OCEAN
-118.28,34.25,29,2559,769,2.6036,162100,<1H OCEAN
-118.29,34.25,19,1988,527,2.4727,175000,<1H OCEAN
-118.29,34.25,8,5568,1374,3.0795,161500,<1H OCEAN
-118.27,34.25,37,2489,431,5.0234,257600,<1H OCEAN
-118.27,34.25,35,2091,326,4.4485,261900,<1H OCEAN
-118.27,34.24,30,2180,390,6.3688,277600,<1H OCEAN
-118.27,34.25,35,779,150,4.6635,230100,<1H OCEAN
-118.27,34.25,39,699,143,4.4375,195800,<1H OCEAN
-118.28,34.24,32,2542,493,4.45,263600,<1H OCEAN
-118.28,34.24,29,3390,576,5.6184,316900,<1H OCEAN
-118.3,34.25,36,1300,261,3.1523,176700,<1H OCEAN
-118.33,34.24,31,6434,1131,4.2639,293300,<1H OCEAN
-118.35,34.22,19,9259,1595,5.997,228700,<1H OCEAN
-118.35,34.22,30,1260,229,4.1302,258300,<1H OCEAN
-118.35,34.21,39,1470,284,3.275,181400,<1H OCEAN
-118.35,34.21,42,1073,226,3.75,172600,<1H OCEAN
-118.31,34.28,34,3258,633,5.1145,219900,<1H OCEAN
-118.31,34.27,35,1446,291,6.0808,215600,<1H OCEAN
-118.3,34.26,43,1510,277,3.599,176500,<1H OCEAN
-118.3,34.26,40,1065,183,4.1964,185900,<1H OCEAN
-118.31,34.26,38,2264,388,4.2685,189600,<1H OCEAN
-118.31,34.26,41,1297,315,3.0583,160300,<1H OCEAN
-118.31,34.26,34,1797,363,4.1339,187300,<1H OCEAN
-118.32,34.26,32,3690,715,4.4875,222700,<1H OCEAN
-118.35,34.28,30,3214,533,4.6944,248200,<1H OCEAN
-118.33,34.27,29,3034,702,3.1349,230200,<1H OCEAN
-118.35,34.27,32,604,113,6.2037,205400,<1H OCEAN
-118.34,34.26,37,1776,265,5.2661,314900,<1H OCEAN
-118.35,34.25,34,2795,443,6.1464,354400,<1H OCEAN
-118.36,34.26,34,3677,568,6.838,378000,<1H OCEAN
-118.3,34.26,28,1643,458,3.1607,200600,<1H OCEAN
-118.3,34.25,44,1442,292,4.5833,197300,<1H OCEAN
-118.31,34.26,37,1444,239,5.76,239400,<1H OCEAN
-118.31,34.26,36,1882,409,3.8,217100,<1H OCEAN
-118.32,34.26,24,5106,957,4.4375,191500,<1H OCEAN
-118.39,34.28,24,4694,777,4.4818,166200,<1H OCEAN
-118.38,34.28,22,4428,836,4.7932,166300,<1H OCEAN
-118.4,34.28,16,6573,1473,3.3304,154900,<1H OCEAN
-118.38,34.27,8,3248,731,2.8214,158300,<1H OCEAN
-118.41,34.29,35,1008,215,3.35,147600,<1H OCEAN
-118.41,34.29,32,1591,306,4.2969,145800,<1H OCEAN
-118.42,34.28,29,1271,266,4.125,150000,<1H OCEAN
-118.41,34.28,32,2574,472,3.7566,146700,<1H OCEAN
-118.4,34.28,22,3517,847,2.6652,164800,<1H OCEAN
-118.42,34.28,35,822,203,3.2865,133300,<1H OCEAN
-118.42,34.28,34,1999,439,2.8,144300,<1H OCEAN
-118.42,34.27,33,1209,283,1.6295,134300,<1H OCEAN
-118.42,34.27,33,937,212,3.3214,131300,<1H OCEAN
-118.42,34.27,35,674,173,2.6667,147800,<1H OCEAN
-118.43,34.28,30,1384,301,3.0132,142600,<1H OCEAN
-118.43,34.27,31,1130,269,4.2353,156800,<1H OCEAN
-118.43,34.27,36,1002,249,3.024,148000,<1H OCEAN
-118.42,34.27,37,1024,239,3.225,147500,<1H OCEAN
-118.43,34.26,30,1246,369,3.5104,140900,<1H OCEAN
-118.43,34.26,37,1269,335,3.2583,147200,<1H OCEAN
-118.44,34.27,35,777,186,3.4,139600,<1H OCEAN
-118.43,34.26,43,729,174,2.9519,140900,<1H OCEAN
-118.42,34.25,37,1545,352,3.6791,148100,<1H OCEAN
-118.43,34.25,35,1447,306,2.9205,143100,<1H OCEAN
-118.42,34.26,26,1788,484,2.1062,136400,<1H OCEAN
-118.41,34.26,38,870,222,2.5313,136100,<1H OCEAN
-118.42,34.26,36,973,218,3.4519,143300,<1H OCEAN
-118.42,34.26,37,1789,411,3.9,138600,<1H OCEAN
-118.41,34.27,38,858,204,2.9219,137900,<1H OCEAN
-118.42,34.27,35,2700,679,1.4867,124000,<1H OCEAN
-118.4,34.26,13,4379,853,4.2538,154300,<1H OCEAN
-118.4,34.25,13,1872,432,2.2019,134200,<1H OCEAN
-118.41,34.25,19,280,87,1.95,137500,<1H OCEAN
-118.41,34.25,33,827,184,2.6429,143100,<1H OCEAN
-118.41,34.25,36,1146,272,3.6016,153800,<1H OCEAN
-118.41,34.25,18,3447,817,3.2284,157100,<1H OCEAN
-118.42,34.24,17,2049,541,2.525,163700,<1H OCEAN
-118.42,34.25,36,1430,312,3.6292,145200,<1H OCEAN
-118.43,34.32,34,2657,532,4.233,157400,<1H OCEAN
-118.43,34.33,18,5891,911,5.901,235600,<1H OCEAN
-118.44,34.32,14,6235,1190,4.1724,211600,<1H OCEAN
-118.42,34.31,19,6755,1395,3.9583,163200,<1H OCEAN
-118.42,34.3,29,3334,718,3.6548,180300,<1H OCEAN
-118.41,34.32,18,6572,1067,5.2987,203400,<1H OCEAN
-118.41,34.3,28,3187,559,5.1668,187400,<1H OCEAN
-118.42,34.32,30,3027,590,4.3409,156000,<1H OCEAN
-118.44,34.31,14,4151,915,4.0301,154300,<1H OCEAN
-118.44,34.31,22,3182,746,2.7472,160100,<1H OCEAN
-118.44,34.3,38,1595,327,3.4,155500,<1H OCEAN
-118.45,34.31,9,1739,323,4.0556,182500,<1H OCEAN
-118.45,34.32,23,3481,682,4.26,189400,<1H OCEAN
-118.46,34.32,10,5777,1056,4.1514,194100,<1H OCEAN
-118.45,34.31,28,1532,275,4.4773,173100,<1H OCEAN
-118.46,34.3,32,2424,419,4.0337,158500,<1H OCEAN
-118.46,34.31,24,2920,598,4.2708,218200,<1H OCEAN
-118.47,34.32,13,2664,521,4.8988,325200,<1H OCEAN
-118.48,34.33,9,2384,402,6.0891,270100,<1H OCEAN
-118.48,34.31,31,1091,238,3,172400,<1H OCEAN
-118.47,34.3,16,2495,567,3.6736,192200,<1H OCEAN
-118.46,34.29,24,3668,810,3.0526,183300,<1H OCEAN
-118.47,34.29,18,4256,955,4.2935,190000,<1H OCEAN
-118.49,34.29,26,4516,581,9.2873,431800,<1H OCEAN
-118.49,34.28,27,2535,386,6.8695,319400,<1H OCEAN
-118.49,34.28,31,3508,588,6.6458,285500,<1H OCEAN
-118.49,34.31,25,1024,147,7.0598,356300,<1H OCEAN
-118.52,34.32,18,7498,955,8.1248,374000,<1H OCEAN
-118.51,34.3,24,6145,875,7.5078,344000,<1H OCEAN
-118.51,34.28,29,4239,631,6.3911,301700,<1H OCEAN
-118.51,34.29,29,1287,187,6.4171,319300,<1H OCEAN
-118.52,34.29,28,2272,312,7.7464,474600,<1H OCEAN
-118.52,34.3,17,4542,597,8.8467,450700,<1H OCEAN
-118.45,34.3,27,2676,623,4.3047,152100,<1H OCEAN
-118.45,34.3,35,4085,906,3.4812,160200,<1H OCEAN
-118.54,34.28,18,5481,764,6.7248,377200,<1H OCEAN
-118.55,34.28,16,8879,1200,8.1125,428600,<1H OCEAN
-118.54,34.3,22,4423,582,8.2159,376200,<1H OCEAN
-118.57,34.29,4,6995,1089,7.0808,341200,<1H OCEAN
-118.45,34.28,38,1527,340,3.5714,152000,<1H OCEAN
-118.46,34.28,23,1663,283,5.5931,217600,<1H OCEAN
-118.47,34.27,33,1549,289,5.1408,222900,<1H OCEAN
-118.48,34.28,35,2132,341,5.3107,227100,<1H OCEAN
-118.48,34.28,35,1511,254,5.5608,226700,<1H OCEAN
-118.47,34.27,17,1444,270,2.7353,192400,<1H OCEAN
-118.47,34.27,35,1150,178,5.741,220600,<1H OCEAN
-118.48,34.27,34,1231,222,4.9323,223700,<1H OCEAN
-118.48,34.27,33,2649,437,4.9955,216800,<1H OCEAN
-118.45,34.27,33,1194,230,3.705,185800,<1H OCEAN
-118.45,34.27,35,1579,265,5.1296,195900,<1H OCEAN
-118.46,34.27,30,1576,284,4.8015,179700,<1H OCEAN
-118.46,34.27,28,1865,440,2.6193,172300,<1H OCEAN
-118.44,34.27,36,1111,266,3.5347,158100,<1H OCEAN
-118.44,34.27,29,1701,371,3.3603,142400,<1H OCEAN
-118.45,34.26,35,1724,315,4.8359,195600,<1H OCEAN
-118.45,34.25,36,1453,275,4.3839,204600,<1H OCEAN
-118.45,34.26,35,1637,302,4.175,209600,<1H OCEAN
-118.46,34.26,33,1358,235,5.0947,210300,<1H OCEAN
-118.46,34.26,36,1394,262,4.9485,217100,<1H OCEAN
-118.46,34.25,33,2202,407,4.2143,224200,<1H OCEAN
-118.46,34.25,32,2217,427,3.6989,208600,<1H OCEAN
-118.47,34.26,34,1300,291,3.8875,199200,<1H OCEAN
-118.47,34.26,35,1898,347,5.5792,218400,<1H OCEAN
-118.48,34.26,36,1770,304,5.749,238000,<1H OCEAN
-118.49,34.26,27,2722,419,4.6591,239900,<1H OCEAN
-118.47,34.25,34,1732,401,4.1492,195700,<1H OCEAN
-118.48,34.25,36,1951,375,5.1619,195300,<1H OCEAN
-118.48,34.25,35,1442,268,4.9688,216900,<1H OCEAN
-118.48,34.25,35,1865,337,5.1068,223300,<1H OCEAN
-118.49,34.25,33,2088,362,4.3333,232900,<1H OCEAN
-118.49,34.27,34,4877,781,5.5714,225900,<1H OCEAN
-118.49,34.27,33,3047,507,4.58,236200,<1H OCEAN
-118.5,34.27,35,2235,416,4.869,221600,<1H OCEAN
-118.51,34.28,34,3580,524,5.4065,243800,<1H OCEAN
-118.52,34.28,33,1975,287,7.8193,379600,<1H OCEAN
-118.51,34.27,34,3787,738,4.055,222500,<1H OCEAN
-118.51,34.27,36,2276,419,4.1042,252100,<1H OCEAN
-118.52,34.27,36,3204,499,5.5649,271200,<1H OCEAN
-118.53,34.27,32,1931,314,5.3847,329200,<1H OCEAN
-118.53,34.26,18,3674,550,8.176,308400,<1H OCEAN
-118.54,34.26,22,5303,807,5.6912,311800,<1H OCEAN
-118.54,34.27,28,2309,302,6.7415,348200,<1H OCEAN
-118.53,34.27,33,1927,293,5.634,320500,<1H OCEAN
-118.55,34.26,21,4018,529,8.203,445400,<1H OCEAN
-118.55,34.27,25,4919,625,8.1356,352800,<1H OCEAN
-118.5,34.26,33,2831,504,4.8316,237300,<1H OCEAN
-118.52,34.26,21,8850,1979,3.7816,254200,<1H OCEAN
-118.51,34.26,29,2472,397,5.5433,332500,<1H OCEAN
-118.52,34.25,11,7849,1500,4.6625,290900,<1H OCEAN
-118.49,34.26,25,8389,1747,3.5497,261300,<1H OCEAN
-118.49,34.25,28,4054,746,5,258000,<1H OCEAN
-118.59,34.26,20,8146,1054,7.167,357100,<1H OCEAN
-118.61,34.24,17,5406,882,6.0137,375900,<1H OCEAN
-118.63,34.24,9,4759,915,4.8333,277200,<1H OCEAN
-118.62,34.26,15,10860,1581,6.3249,262100,<1H OCEAN
-118.6,34.26,18,6154,1034,5.6392,271500,<1H OCEAN
-118.61,34.25,16,8295,1451,5.5111,276600,<1H OCEAN
-118.63,34.22,18,1376,205,6.5146,277600,<1H OCEAN
-118.64,34.22,25,2762,439,6.8643,333700,<1H OCEAN
-118.66,34.23,18,897,110,6.1288,350000,<1H OCEAN
-118.61,34.23,26,3727,530,6.1419,327300,<1H OCEAN
-118.61,34.22,24,5256,780,7.3252,333700,<1H OCEAN
-118.6,34.23,19,8866,2194,3.2564,230300,<1H OCEAN
-118.59,34.23,17,6592,1463,3.0347,254500,<1H OCEAN
-118.57,34.25,34,5098,778,5.6149,273100,<1H OCEAN
-118.58,34.24,26,3239,590,3.2426,236900,<1H OCEAN
-118.59,34.25,15,9716,2225,3.6231,193300,<1H OCEAN
-118.57,34.25,20,4679,609,8.7471,419900,<1H OCEAN
-118.58,34.25,23,4883,725,5.521,280800,<1H OCEAN
-118.56,34.23,36,3215,539,5.5126,248400,<1H OCEAN
-118.56,34.23,36,2406,454,4.6944,221800,<1H OCEAN
-118.57,34.23,22,3275,585,4.9676,221900,<1H OCEAN
-118.58,34.23,29,3907,727,4.1023,230200,<1H OCEAN
-118.59,34.23,14,4407,1128,3.4091,168800,<1H OCEAN
-118.58,34.23,35,1917,340,4.8929,234900,<1H OCEAN
-118.58,34.22,35,1969,340,4.875,230400,<1H OCEAN
-118.59,34.22,17,6015,1347,4.0077,229000,<1H OCEAN
-118.51,34.24,31,5297,657,8.6454,483500,<1H OCEAN
-118.51,34.23,36,3324,423,7.2772,477200,<1H OCEAN
-118.52,34.24,6,3218,876,3.0926,418500,<1H OCEAN
-118.52,34.23,35,1471,219,8.3841,472200,<1H OCEAN
-118.53,34.25,20,6331,1509,3.3892,323100,<1H OCEAN
-118.54,34.24,24,4631,1083,3.0977,264000,<1H OCEAN
-118.53,34.24,24,2718,644,2.9076,275300,<1H OCEAN
-118.54,34.23,35,3422,574,4.375,232900,<1H OCEAN
-118.53,34.23,27,2131,528,3.2404,230400,<1H OCEAN
-118.54,34.25,26,2639,401,6.2788,322200,<1H OCEAN
-118.55,34.24,21,5751,1016,4.3458,407500,<1H OCEAN
-118.55,34.23,25,4409,1010,2.8727,245100,<1H OCEAN
-118.51,34.23,27,4580,850,4.7926,454400,<1H OCEAN
-118.52,34.22,21,4617,1031,3.2289,318100,<1H OCEAN
-118.53,34.23,32,4039,941,3.0321,240000,<1H OCEAN
-118.54,34.22,34,2193,497,3.6187,211600,<1H OCEAN
-118.54,34.23,29,1753,333,4.125,241400,<1H OCEAN
-118.45,34.25,34,2094,380,5.2801,212300,<1H OCEAN
-118.46,34.24,11,5363,1034,3.8583,170700,<1H OCEAN
-118.47,34.25,21,2692,456,4.5417,238900,<1H OCEAN
-118.47,34.24,19,2405,621,2.3111,255400,<1H OCEAN
-118.48,34.24,32,2621,414,6.6537,267600,<1H OCEAN
-118.49,34.25,30,2871,458,5.0232,253900,<1H OCEAN
-118.49,34.24,35,2707,445,5.2939,244200,<1H OCEAN
-118.49,34.24,34,1971,307,6.0965,262300,<1H OCEAN
-118.5,34.25,32,2333,331,4.8164,241100,<1H OCEAN
-118.5,34.25,32,2411,344,6.155,257300,<1H OCEAN
-118.5,34.24,34,2634,423,5.9401,315300,<1H OCEAN
-118.5,34.23,26,3082,586,4.5167,319000,<1H OCEAN
-118.49,34.23,32,4373,693,5.2668,242300,<1H OCEAN
-118.49,34.22,30,1756,288,5.0325,238200,<1H OCEAN
-118.47,34.23,22,8350,2452,2.5008,160000,<1H OCEAN
-118.48,34.23,35,1963,297,4.7583,258600,<1H OCEAN
-118.48,34.23,30,1762,292,6.5268,273100,<1H OCEAN
-118.48,34.23,29,3354,650,4.5484,239900,<1H OCEAN
-118.46,34.23,20,4609,1377,2.7121,169400,<1H OCEAN
-118.46,34.23,16,6338,1632,3.0187,154600,<1H OCEAN
-118.43,34.25,38,921,241,3.4514,151900,<1H OCEAN
-118.42,34.24,36,1181,218,4.7228,183800,<1H OCEAN
-118.43,34.24,36,1488,296,4.0208,171400,<1H OCEAN
-118.42,34.24,35,1507,286,4.5833,177200,<1H OCEAN
-118.41,34.23,35,1026,185,4.5909,179200,<1H OCEAN
-118.41,34.24,38,490,100,3.125,175900,<1H OCEAN
-118.44,34.26,34,1102,212,4.0792,165100,<1H OCEAN
-118.44,34.26,28,1077,293,3.9167,153900,<1H OCEAN
-118.43,34.25,32,2433,532,3.6384,159300,<1H OCEAN
-118.44,34.26,34,325,83,5.5124,174300,<1H OCEAN
-118.44,34.25,35,1583,351,3.7,176000,<1H OCEAN
-118.45,34.25,21,2143,497,3.9833,162500,<1H OCEAN
-118.45,34.24,11,9053,2038,3.5082,136500,<1H OCEAN
-118.45,34.23,15,5738,1581,2.3584,157600,<1H OCEAN
-118.45,34.24,7,3299,647,3.0865,205900,<1H OCEAN
-118.44,34.25,33,1121,236,4.8958,173700,<1H OCEAN
-118.43,34.24,35,1416,272,3.7143,178700,<1H OCEAN
-118.43,34.24,35,1488,288,4.4688,182500,<1H OCEAN
-118.44,34.24,36,1660,307,4.095,184000,<1H OCEAN
-118.44,34.24,35,2344,399,3.725,178200,<1H OCEAN
-118.42,34.23,33,2478,446,5.6629,186700,<1H OCEAN
-118.42,34.22,29,1807,310,5.3767,233000,<1H OCEAN
-118.43,34.23,35,2049,385,4.4432,181500,<1H OCEAN
-118.43,34.24,36,1379,246,4.6827,183800,<1H OCEAN
-118.42,34.23,34,1550,288,4.5375,189000,<1H OCEAN
-118.43,34.23,35,1225,231,3.4013,176500,<1H OCEAN
-118.43,34.23,37,1737,356,3.9615,173700,<1H OCEAN
-118.43,34.24,37,1279,233,4.0057,172700,<1H OCEAN
-118.44,34.23,36,1730,353,4.0368,183100,<1H OCEAN
-118.43,34.22,34,1588,340,3.66,184600,<1H OCEAN
-118.44,34.22,41,1030,223,3.8083,183800,<1H OCEAN
-118.44,34.22,39,1529,314,3.325,178200,<1H OCEAN
-118.44,34.23,43,2257,442,4.5278,181800,<1H OCEAN
-118.46,34.22,35,2288,566,2.6299,170700,<1H OCEAN
-118.46,34.22,39,1500,309,3.9625,168200,<1H OCEAN
-118.46,34.22,31,2057,579,2.871,184400,<1H OCEAN
-118.45,34.22,24,3442,1097,2.0699,183000,<1H OCEAN
-118.45,34.23,25,4393,1267,2.5833,183700,<1H OCEAN
-118.45,34.22,8,2609,695,2.7714,185700,<1H OCEAN
-118.46,34.23,19,9902,2660,2.585,145400,<1H OCEAN
-118.44,34.22,36,1191,248,3.4612,178800,<1H OCEAN
