year,age,sex,maritl,race,education,wage
2006,54,1. Male,2. Married,1. White,3. Some College,117.1468169
2005,69,1. Male,2. Married,1. White,2. HS Grad,77.7376033
2004,41,1. Male,2. Married,1. White,3. Some College,87.98103279
2003,48,1. Male,2. Married,1. White,5. Advanced Degree,125.5254984
2003,49,1. Male,2. Married,1. White,3. Some College,123.336104
2009,42,1. Male,2. Married,1. White,2. HS Grad,158.2946214
2003,37,1. Male,2. Married,1. White,4. College Grad,200.5432623
2004,55,1. Male,2. Married,3. Asian,2. HS Grad,99.6894637
2008,21,1. Male,1. Never Married,2. Black,2. HS Grad,70.47601965
2004,58,1. Male,2. Married,1. White,2. HS Grad,94.07271475
2006,31,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2006,25,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2006,32,1. Male,1. Never Married,1. White,3. Some College,100.7642728
2009,40,1. Male,1. Never Married,2. Black,1. < HS Grad,94.07271475
2003,44,1. Male,2. Married,1. White,5. Advanced Degree,99.6894637
2003,60,1. Male,2. Married,1. White,4. College Grad,268.266292
2006,23,1. Male,1. Never Married,1. White,1. < HS Grad,81.28325328
2003,63,1. Male,2. Married,1. White,2. HS Grad,113.5670896
2008,44,1. Male,1. Never Married,1. White,1. < HS Grad,87.98103279
2005,47,1. Male,2. Married,3. Asian,5. Advanced Degree,128.6804882
2004,61,1. Male,2. Married,1. White,3. Some College,106.7239776
2009,55,1. Male,2. Married,1. White,5. Advanced Degree,66.04469423
2003,24,1. Male,1. Never Married,1. White,1. < HS Grad,51.52195631
2007,42,1. Male,3. Widowed,1. White,2. HS Grad,85.38394038
2006,25,1. Male,2. Married,1. White,2. HS Grad,76.89360252
2004,34,1. Male,4. Divorced,1. White,2. HS Grad,90.48191336
2009,53,1. Male,2. Married,1. White,1. < HS Grad,68.07642829
2009,53,1. Male,2. Married,1. White,4. College Grad,130.9821774
2009,70,1. Male,2. Married,3. Asian,5. Advanced Degree,127.901233
2004,47,1. Male,2. Married,1. White,4. College Grad,131.2245938
2003,46,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2003,33,1. Male,4. Divorced,1. White,1. < HS Grad,76.89360252
2005,34,1. Male,2. Married,1. White,5. Advanced Degree,107.9039239
2006,22,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2009,74,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2003,40,1. Male,2. Married,2. Black,3. Some College,98.59934386
2006,45,1. Male,2. Married,1. White,4. College Grad,200.5432623
2009,43,1. Male,2. Married,3. Asian,4. College Grad,156.5035109
2005,33,1. Male,2. Married,3. Asian,4. College Grad,144.944365
2009,62,1. Male,2. Married,2. Black,4. College Grad,118.8843593
2008,37,1. Male,2. Married,1. White,4. College Grad,121.4303138
2004,54,1. Male,2. Married,1. White,2. HS Grad,111.7208494
2005,34,1. Male,2. Married,1. White,3. Some College,68.74808773
2008,50,1. Male,1. Never Married,1. White,4. College Grad,114.4757133
2006,46,1. Male,4. Divorced,1. White,3. Some College,95.23071257
2007,41,1. Male,2. Married,1. White,1. < HS Grad,87.98103279
2003,63,1. Male,4. Divorced,2. Black,3. Some College,64.27439722
2007,38,1. Male,2. Married,1. White,3. Some College,128.6804882
2006,35,1. Male,2. Married,1. White,3. Some College,114.4757133
2009,29,1. Male,2. Married,1. White,4. College Grad,112.6488963
2008,66,1. Male,2. Married,1. White,1. < HS Grad,81.28325328
2004,37,1. Male,2. Married,1. White,2. HS Grad,75.89548482
2006,39,1. Male,2. Married,2. Black,2. HS Grad,112.136923
2003,42,1. Male,2. Married,1. White,2. HS Grad,85.38394038
2007,51,1. Male,4. Divorced,1. White,2. HS Grad,94.07271475
2009,55,1. Male,2. Married,3. Asian,5. Advanced Degree,114.4757133
2006,51,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2008,38,1. Male,2. Married,1. White,5. Advanced Degree,276.7784133
2005,49,1. Male,2. Married,1. White,2. HS Grad,101.8243521
2006,42,1. Male,2. Married,1. White,2. HS Grad,91.69922611
2009,43,1. Male,5. Separated,1. White,1. < HS Grad,86.69515483
2006,38,1. Male,2. Married,1. White,4. College Grad,162.9464607
2008,59,1. Male,2. Married,3. Asian,2. HS Grad,139.2137881
2009,57,1. Male,2. Married,1. White,3. Some College,95.23071257
2005,25,1. Male,1. Never Married,1. White,2. HS Grad,66.96164432
2004,49,1. Male,2. Married,1. White,4. College Grad,131.1943236
2004,41,1. Male,2. Married,1. White,1. < HS Grad,90.48191336
2009,38,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2003,61,1. Male,2. Married,1. White,5. Advanced Degree,79.1280845
2007,49,1. Male,4. Divorced,1. White,2. HS Grad,104.5917379
2008,52,1. Male,4. Divorced,1. White,5. Advanced Degree,132.4878211
2007,43,1. Male,2. Married,1. White,5. Advanced Degree,141.7751723
2008,60,1. Male,2. Married,1. White,4. College Grad,123.0896998
2005,46,1. Male,2. Married,3. Asian,5. Advanced Degree,134.7053751
2004,21,1. Male,1. Never Married,1. White,2. HS Grad,55.76739051
2009,61,1. Male,2. Married,1. White,4. College Grad,106.9218141
2007,32,1. Male,2. Married,2. Black,5. Advanced Degree,118.8843593
2004,58,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2003,35,1. Male,1. Never Married,1. White,2. HS Grad,88.92960664
2004,26,1. Male,1. Never Married,2. Black,2. HS Grad,81.28325328
2006,32,1. Male,1. Never Married,2. Black,2. HS Grad,94.07271475
2003,37,1. Male,2. Married,1. White,2. HS Grad,106.9218141
2007,22,1. Male,1. Never Married,3. Asian,2. HS Grad,59.09706408
2005,51,1. Male,1. Never Married,1. White,2. HS Grad,65.11085372
2004,44,1. Male,4. Divorced,1. White,5. Advanced Degree,120.5894365
2005,35,1. Male,2. Married,3. Asian,5. Advanced Degree,157.7005277
2004,60,1. Male,2. Married,1. White,2. HS Grad,129.4536446
2007,40,1. Male,2. Married,1. White,4. College Grad,176.9896505
2004,35,1. Male,1. Never Married,1. White,1. < HS Grad,59.09706408
2007,35,1. Male,2. Married,1. White,5. Advanced Degree,94.07271475
2008,47,1. Male,2. Married,1. White,2. HS Grad,134.7053751
2003,43,1. Male,1. Never Married,1. White,4. College Grad,81.28325328
2003,33,1. Male,2. Married,1. White,1. < HS Grad,81.28325328
2003,60,1. Male,4. Divorced,1. White,5. Advanced Degree,153.4575153
2008,38,1. Male,2. Married,3. Asian,5. Advanced Degree,136.8763676
2005,53,1. Male,2. Married,1. White,2. HS Grad,75.04315402
2004,55,1. Male,2. Married,1. White,3. Some College,130.2208324
2003,57,1. Male,2. Married,2. Black,2. HS Grad,104.9215065
2005,64,1. Male,2. Married,1. White,4. College Grad,49.55533812
2007,43,1. Male,2. Married,1. White,2. HS Grad,123.9085676
2008,35,1. Male,2. Married,2. Black,3. Some College,123.0896998
2008,54,1. Male,2. Married,1. White,2. HS Grad,78.15516141
2007,45,1. Male,2. Married,1. White,2. HS Grad,73.77574327
2003,58,1. Male,4. Divorced,3. Asian,4. College Grad,138.2991269
2007,48,1. Male,2. Married,1. White,4. College Grad,127.1157438
2003,46,1. Male,2. Married,3. Asian,1. < HS Grad,68.74808773
2004,46,1. Male,2. Married,1. White,2. HS Grad,84.39111475
2009,55,1. Male,2. Married,1. White,1. < HS Grad,85.38394038
2006,51,1. Male,2. Married,1. White,3. Some College,128.6804882
2005,49,1. Male,2. Married,1. White,3. Some College,70.47601965
2008,34,1. Male,1. Never Married,1. White,3. Some College,76.89360252
2007,53,1. Male,2. Married,1. White,3. Some College,148.4131591
2004,40,1. Male,2. Married,1. White,3. Some College,148.4131591
2009,50,1. Male,2. Married,1. White,3. Some College,175.9608831
2006,37,1. Male,4. Divorced,1. White,1. < HS Grad,98.59934386
2003,39,1. Male,2. Married,1. White,3. Some College,145.1436012
2004,52,1. Male,2. Married,1. White,4. College Grad,99.6894637
2003,50,1. Male,2. Married,1. White,2. HS Grad,141.0888744
2006,48,1. Male,2. Married,1. White,4. College Grad,123.0896998
2006,47,1. Male,2. Married,1. White,2. HS Grad,129.4536446
2005,27,1. Male,2. Married,1. White,4. College Grad,111.7208494
2006,39,1. Male,2. Married,1. White,2. HS Grad,103.9024706
2009,44,1. Male,2. Married,2. Black,2. HS Grad,118.8843593
2003,37,1. Male,2. Married,2. Black,3. Some College,151.5914842
2006,52,1. Male,2. Married,1. White,2. HS Grad,101.8243521
2004,26,1. Male,1. Never Married,3. Asian,3. Some College,99.6894637
2008,39,1. Male,2. Married,3. Asian,5. Advanced Degree,99.6894637
2006,25,1. Male,2. Married,2. Black,2. HS Grad,99.6894637
2005,31,1. Male,1. Never Married,1. White,4. College Grad,94.07271475
2004,58,1. Male,2. Married,1. White,3. Some College,152.2168068
2005,30,1. Male,2. Married,1. White,4. College Grad,104.9215065
2004,27,1. Male,2. Married,1. White,1. < HS Grad,65.11085372
2003,40,1. Male,4. Divorced,1. White,2. HS Grad,95.23071257
2006,55,1. Male,2. Married,1. White,5. Advanced Degree,173.8794933
2009,35,1. Male,2. Married,3. Asian,5. Advanced Degree,193.4110705
2008,48,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2006,29,1. Male,1. Never Married,3. Asian,4. College Grad,160.6424754
2005,25,1. Male,1. Never Married,1. White,3. Some College,89.49247952
2004,40,1. Male,2. Married,1. White,3. Some College,120.5894365
2006,27,1. Male,2. Married,1. White,1. < HS Grad,73.77574327
2006,44,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2006,49,1. Male,2. Married,1. White,3. Some College,118.8843593
2003,22,1. Male,1. Never Married,1. White,3. Some College,34.60741773
2007,45,1. Male,2. Married,1. White,3. Some College,114.4757133
2007,33,1. Male,2. Married,1. White,3. Some College,85.38394038
2007,63,1. Male,2. Married,2. Black,5. Advanced Degree,318.3424301
2006,49,1. Male,1. Never Married,2. Black,4. College Grad,141.7751723
2005,39,1. Male,1. Never Married,1. White,5. Advanced Degree,130.9821774
2007,25,1. Male,1. Never Married,4. Other,1. < HS Grad,73.77574327
2005,29,1. Male,1. Never Married,1. White,5. Advanced Degree,130.9821774
2006,37,1. Male,2. Married,1. White,2. HS Grad,75.04315402
2008,35,1. Male,2. Married,1. White,5. Advanced Degree,154.9902603
2009,46,1. Male,2. Married,1. White,2. HS Grad,104.9215065
2008,58,1. Male,2. Married,1. White,4. College Grad,73.11830692
2003,39,1. Male,2. Married,1. White,5. Advanced Degree,123.0896998
2008,41,1. Male,2. Married,1. White,4. College Grad,157.7005277
2008,29,1. Male,2. Married,2. Black,4. College Grad,81.28325328
2009,37,1. Male,2. Married,1. White,4. College Grad,107.2560621
2009,62,1. Male,2. Married,1. White,2. HS Grad,78.98167452
2008,27,1. Male,1. Never Married,2. Black,2. HS Grad,73.77574327
2003,37,1. Male,2. Married,1. White,2. HS Grad,94.07271475
2006,56,1. Male,5. Separated,3. Asian,4. College Grad,99.6894637
2004,36,1. Male,2. Married,1. White,3. Some College,176.9896505
2005,23,1. Male,1. Never Married,4. Other,2. HS Grad,73.77574327
2003,46,1. Male,2. Married,1. White,3. Some College,99.6894637
2009,26,1. Male,1. Never Married,1. White,3. Some College,94.07271475
2006,43,1. Male,2. Married,1. White,1. < HS Grad,95.23071257
2007,36,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2003,54,1. Male,5. Separated,1. White,3. Some College,99.6894637
2003,62,1. Male,2. Married,1. White,2. HS Grad,95.68881191
2006,40,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2006,53,1. Male,2. Married,1. White,3. Some College,118.8843593
2007,48,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2004,23,1. Male,2. Married,1. White,4. College Grad,61.18752643
2009,34,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2004,43,1. Male,2. Married,1. White,4. College Grad,256.4006496
2006,55,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2007,59,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2007,60,1. Male,2. Married,1. White,2. HS Grad,55.76739051
2009,49,1. Male,1. Never Married,1. White,2. HS Grad,75.35567932
2006,45,1. Male,2. Married,3. Asian,3. Some College,130.9821774
2006,31,1. Male,4. Divorced,1. White,2. HS Grad,43.73511168
2004,34,1. Male,1. Never Married,1. White,4. College Grad,114.4757133
2005,26,1. Male,1. Never Married,1. White,5. Advanced Degree,114.4757133
2007,22,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2004,40,1. Male,2. Married,1. White,2. HS Grad,68.5721657
2009,41,1. Male,2. Married,1. White,3. Some College,109.8339856
2006,36,1. Male,1. Never Married,2. Black,3. Some College,97.49329405
2007,38,1. Male,2. Married,1. White,1. < HS Grad,62.39835472
2003,48,1. Male,2. Married,1. White,2. HS Grad,97.49329405
2006,47,1. Male,2. Married,1. White,3. Some College,134.7053751
2005,47,1. Male,5. Separated,1. White,1. < HS Grad,61.18752643
2007,35,1. Male,2. Married,1. White,4. College Grad,118.8843593
2008,49,1. Male,2. Married,3. Asian,2. HS Grad,65.11085372
2004,40,1. Male,2. Married,1. White,3. Some College,109.8339856
2004,32,1. Male,3. Widowed,3. Asian,4. College Grad,104.9215065
2008,57,1. Male,2. Married,1. White,4. College Grad,73.77574327
2008,56,1. Male,2. Married,1. White,4. College Grad,141.7751723
2009,73,1. Male,2. Married,1. White,1. < HS Grad,90.48191336
2007,29,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2003,49,1. Male,2. Married,3. Asian,5. Advanced Degree,134.7053751
2009,30,1. Male,1. Never Married,1. White,2. HS Grad,109.8339856
2008,29,1. Male,2. Married,1. White,2. HS Grad,91.69922611
2004,36,1. Male,2. Married,1. White,3. Some College,95.23071257
2009,39,1. Male,2. Married,1. White,5. Advanced Degree,156.5035109
2007,48,1. Male,2. Married,1. White,4. College Grad,104.9215065
2006,45,1. Male,2. Married,2. Black,4. College Grad,99.6894637
2004,50,1. Male,2. Married,1. White,4. College Grad,54.59815003
2003,42,1. Male,2. Married,1. White,4. College Grad,32.36641317
2007,58,1. Male,2. Married,1. White,3. Some College,118.8843593
2007,48,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2003,48,1. Male,2. Married,1. White,4. College Grad,109.8339856
2005,45,1. Male,2. Married,1. White,3. Some College,118.8843593
2007,41,1. Male,4. Divorced,1. White,3. Some College,110.7826503
2008,27,1. Male,1. Never Married,1. White,2. HS Grad,93.55726735
2004,44,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2003,32,1. Male,2. Married,1. White,4. College Grad,118.8843593
2006,46,1. Male,2. Married,1. White,1. < HS Grad,118.8843593
2005,52,1. Male,2. Married,2. Black,2. HS Grad,52.15617117
2003,22,1. Male,1. Never Married,1. White,3. Some College,43.73511168
2004,53,1. Male,3. Widowed,1. White,2. HS Grad,117.1468169
2008,34,1. Male,2. Married,1. White,5. Advanced Degree,118.8843593
2009,38,1. Male,2. Married,1. White,2. HS Grad,148.4131591
2009,42,1. Male,2. Married,1. White,1. < HS Grad,101.8243521
2005,25,1. Male,1. Never Married,2. Black,3. Some College,94.07271475
2004,29,1. Male,1. Never Married,1. White,3. Some College,86.69515483
2005,28,1. Male,2. Married,1. White,5. Advanced Degree,141.7751723
2005,46,1. Male,2. Married,1. White,4. College Grad,66.96164432
2007,55,1. Male,2. Married,2. Black,5. Advanced Degree,118.8843593
2004,56,1. Male,2. Married,1. White,2. HS Grad,105.7676396
2005,41,1. Male,4. Divorced,2. Black,2. HS Grad,118.8843593
2009,61,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2003,47,1. Male,2. Married,1. White,2. HS Grad,65.11085372
2006,52,1. Male,2. Married,1. White,3. Some College,85.38394038
2004,27,1. Male,2. Married,1. White,2. HS Grad,72.15045568
2007,33,1. Male,1. Never Married,2. Black,3. Some College,89.24288466
2003,58,1. Male,1. Never Married,1. White,2. HS Grad,65.11085372
2005,27,1. Male,2. Married,1. White,4. College Grad,145.8051634
2009,52,1. Male,5. Separated,2. Black,2. HS Grad,87.98103279
2003,45,1. Male,2. Married,1. White,5. Advanced Degree,41.09980363
2003,22,1. Male,1. Never Married,1. White,2. HS Grad,68.3956538
2005,25,1. Male,1. Never Married,1. White,3. Some College,81.28325328
2004,25,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2005,41,1. Male,2. Married,2. Black,1. < HS Grad,130.9821774
2006,54,1. Male,5. Separated,1. White,4. College Grad,148.4131591
2007,23,1. Male,2. Married,1. White,2. HS Grad,81.22674631
2006,36,1. Male,1. Never Married,1. White,5. Advanced Degree,63.188861
2004,31,1. Male,5. Separated,1. White,3. Some College,94.07271475
2006,52,1. Male,2. Married,1. White,2. HS Grad,92.65813017
2007,46,1. Male,2. Married,2. Black,2. HS Grad,76.89360252
2007,45,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2009,40,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2004,33,1. Male,1. Never Married,3. Asian,4. College Grad,86.69515483
2007,42,1. Male,2. Married,1. White,4. College Grad,133.9715001
2007,41,1. Male,2. Married,1. White,4. College Grad,125.5254984
2007,25,1. Male,1. Never Married,4. Other,2. HS Grad,92.89584479
2005,24,1. Male,4. Divorced,1. White,2. HS Grad,72.15045568
2006,24,1. Male,1. Never Married,1. White,3. Some College,118.8843593
2008,51,1. Male,2. Married,1. White,2. HS Grad,70.47601965
2004,41,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2009,42,1. Male,1. Never Married,1. White,4. College Grad,114.4757133
2005,30,1. Male,1. Never Married,1. White,4. College Grad,87.98103279
2009,55,1. Male,2. Married,3. Asian,1. < HS Grad,54.59815003
2008,23,1. Male,1. Never Married,1. White,2. HS Grad,84.04595765
2003,60,1. Male,4. Divorced,1. White,4. College Grad,85.38394038
2003,40,1. Male,2. Married,3. Asian,5. Advanced Degree,141.7751723
2008,41,1. Male,1. Never Married,1. White,2. HS Grad,110.7826503
2003,80,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2005,53,1. Male,2. Married,1. White,2. HS Grad,97.49329405
2004,40,1. Male,1. Never Married,1. White,2. HS Grad,171.7651326
2009,35,1. Male,2. Married,1. White,3. Some College,137.4812478
2009,55,1. Male,2. Married,1. White,1. < HS Grad,75.35567932
2008,24,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2007,39,1. Male,2. Married,1. White,4. College Grad,148.4131591
2003,30,1. Male,2. Married,1. White,5. Advanced Degree,95.23071257
2005,68,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2004,54,1. Male,2. Married,2. Black,2. HS Grad,109.8339856
2008,27,1. Male,1. Never Married,1. White,4. College Grad,81.28325328
2005,34,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2004,53,1. Male,2. Married,1. White,5. Advanced Degree,127.1157438
2004,48,1. Male,2. Married,2. Black,5. Advanced Degree,85.38394038
2005,59,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2004,30,1. Male,2. Married,1. White,3. Some College,118.8843593
2007,45,1. Male,2. Married,1. White,5. Advanced Degree,163.515864
2007,39,1. Male,2. Married,4. Other,4. College Grad,104.9215065
2008,45,1. Male,2. Married,3. Asian,4. College Grad,99.6894637
2007,43,1. Male,2. Married,1. White,5. Advanced Degree,281.7459706
2003,30,1. Male,1. Never Married,2. Black,5. Advanced Degree,138.2991269
2005,57,1. Male,2. Married,1. White,4. College Grad,176.9896505
2004,53,1. Male,2. Married,1. White,4. College Grad,136.8763676
2009,42,1. Male,2. Married,1. White,4. College Grad,186.8766776
2005,23,1. Male,1. Never Married,1. White,2. HS Grad,90.48191336
2009,58,1. Male,2. Married,1. White,2. HS Grad,85.38394038
2005,43,1. Male,2. Married,1. White,1. < HS Grad,145.1436012
2003,33,1. Male,4. Divorced,1. White,5. Advanced Degree,120.5894365
2004,56,1. Male,2. Married,1. White,4. College Grad,101.8243521
2006,37,1. Male,2. Married,2. Black,4. College Grad,108.8745258
2009,41,1. Male,4. Divorced,1. White,5. Advanced Degree,38.60591452
2007,33,1. Male,2. Married,1. White,3. Some College,92.89584479
2007,50,1. Male,1. Never Married,1. White,5. Advanced Degree,126.3238807
2003,43,1. Male,2. Married,1. White,5. Advanced Degree,191.5736835
2004,53,1. Male,2. Married,1. White,4. College Grad,155.9005061
2005,37,1. Male,3. Widowed,1. White,3. Some College,87.98103279
2006,20,1. Male,1. Never Married,2. Black,3. Some College,59.09706408
2003,26,1. Male,1. Never Married,1. White,3. Some College,73.77574327
2003,29,1. Male,4. Divorced,1. White,4. College Grad,90.48191336
2008,57,1. Male,2. Married,1. White,4. College Grad,118.8843593
2009,47,1. Male,2. Married,1. White,3. Some College,151.5914842
2004,54,1. Male,2. Married,1. White,5. Advanced Degree,272.2947832
2007,38,1. Male,2. Married,1. White,1. < HS Grad,97.49329405
2006,23,1. Male,1. Never Married,1. White,3. Some College,68.11199407
2004,31,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2004,43,1. Male,2. Married,1. White,4. College Grad,272.2947832
2003,33,1. Male,2. Married,1. White,5. Advanced Degree,111.7208494
2004,48,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2008,33,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2009,52,1. Male,2. Married,1. White,4. College Grad,114.4757133
2008,30,1. Male,1. Never Married,2. Black,3. Some College,69.79153085
2004,44,1. Male,2. Married,1. White,2. HS Grad,94.07271475
2004,38,1. Male,2. Married,1. White,2. HS Grad,127.273347
2008,51,1. Male,2. Married,1. White,2. HS Grad,160.6424754
2007,47,1. Male,2. Married,1. White,3. Some College,171.7651326
2005,28,1. Male,2. Married,1. White,4. College Grad,141.7751723
2004,52,1. Male,4. Divorced,1. White,3. Some College,115.3750386
2004,23,1. Male,1. Never Married,1. White,1. < HS Grad,72.15045568
2003,65,1. Male,2. Married,1. White,1. < HS Grad,73.77574327
2005,27,1. Male,1. Never Married,1. White,4. College Grad,127.1157438
2004,33,1. Male,2. Married,1. White,1. < HS Grad,20.93437794
2008,49,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2008,27,1. Male,1. Never Married,1. White,3. Some College,102.8702469
2008,48,1. Male,4. Divorced,1. White,2. HS Grad,115.3750386
2005,38,1. Male,1. Never Married,1. White,3. Some College,97.49329405
2008,58,1. Male,2. Married,1. White,3. Some College,104.9215065
2003,40,1. Male,2. Married,3. Asian,5. Advanced Degree,115.3750386
2007,46,1. Male,2. Married,1. White,2. HS Grad,93.48669204
2009,53,1. Male,2. Married,2. Black,3. Some College,123.0896998
2009,25,1. Male,1. Never Married,2. Black,5. Advanced Degree,118.8843593
2003,42,1. Male,2. Married,1. White,3. Some College,96.37065283
2004,40,1. Male,1. Never Married,1. White,2. HS Grad,84.04595765
2006,35,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2005,50,1. Male,5. Separated,1. White,2. HS Grad,95.23071257
2004,34,1. Male,2. Married,1. White,3. Some College,81.28325328
2009,48,1. Male,2. Married,1. White,2. HS Grad,102.8702469
2004,49,1. Male,2. Married,1. White,5. Advanced Degree,111.7208494
2009,41,1. Male,2. Married,3. Asian,4. College Grad,94.07271475
2004,37,1. Male,2. Married,3. Asian,4. College Grad,127.1157438
2003,58,1. Male,2. Married,1. White,3. Some College,104.9215065
2006,28,1. Male,1. Never Married,2. Black,2. HS Grad,68.11199407
2003,33,1. Male,2. Married,1. White,2. HS Grad,128.6804882
2003,50,1. Male,2. Married,1. White,3. Some College,143.9273594
2009,38,1. Male,2. Married,1. White,2. HS Grad,103.9024706
2003,48,1. Male,2. Married,1. White,2. HS Grad,91.69922611
2008,30,1. Male,2. Married,1. White,3. Some College,95.23071257
