Id,LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
55,7134,5,1955,384,1360,1,3,TA,6,572,130000
56,10175,6,1964,1425,1425,2,3,TA,7,576,180500
57,2645,8,1999,970,1739,2,3,Gd,7,480,172500
58,11645,7,2004,860,1720,2,3,Gd,7,565,196500
59,13682,10,2006,1410,2945,3,3,Gd,10,641,438780
60,7200,5,1972,780,780,1,2,TA,4,352,124900
61,13072,6,2004,1158,1158,1,3,Gd,5,576,158000
62,7200,5,1920,530,1111,1,3,Fa,6,288,101000
63,6442,8,2006,1370,1370,2,2,Gd,6,484,202500
64,10300,7,1921,576,1710,2,3,TA,9,480,140000
65,9375,7,1997,1057,2034,2,3,Gd,8,645,219500
66,9591,8,2004,1143,2473,2,4,Gd,9,852,317000
67,19900,7,1970,1947,2207,2,3,TA,7,576,180000
68,10665,7,2003,1453,1479,2,3,Gd,7,558,226000
69,4608,4,1945,747,747,1,2,TA,4,220,80000
70,15593,7,1953,1304,2287,2,3,TA,7,667,225000
71,13651,7,1973,2223,2223,2,3,TA,8,516,244000
72,7599,4,1982,845,845,1,2,TA,4,360,129500
73,10141,7,1998,832,1718,2,3,TA,7,427,185000
74,10200,5,1954,1086,1086,1,3,TA,6,490,144900
75,5790,3,1915,840,1605,2,3,TA,8,379,107400
76,1596,4,1973,462,988,1,2,TA,5,297,91000
77,8475,4,1956,952,952,1,2,TA,4,283,135750
78,8635,5,1948,672,1285,1,2,TA,6,240,127000
79,10778,4,1968,1768,1768,2,4,TA,8,0,136500
80,10440,5,1910,440,1230,1,2,TA,5,440,110000
81,13000,6,1968,896,2142,2,4,Gd,8,509,193500
82,4500,6,1998,1237,1337,2,2,TA,5,405,153500
83,10206,8,2007,1563,1563,2,3,Gd,6,758,245000
84,8892,5,1960,1065,1065,1,3,TA,6,461,126500
85,8530,7,1995,384,1474,2,3,TA,7,400,168500
86,16059,8,1991,1288,2417,2,4,Gd,9,462,260000
87,11911,6,2005,684,1560,2,3,Gd,6,400,174000
88,3951,6,2009,612,1224,2,2,Gd,4,528,164500
89,8470,3,1915,1013,1526,1,2,Fa,6,0,85000
90,8070,4,1994,990,990,1,3,TA,5,0,123600
91,7200,4,1950,0,1040,1,2,TA,4,420,109900
92,8500,5,1961,1235,1235,1,2,TA,6,480,98600
93,13360,5,1921,876,964,1,2,TA,5,432,163500
94,7200,6,1910,1214,2291,2,4,TA,9,506,133900
95,9337,6,1997,824,1786,2,3,Gd,7,684,204750
96,9765,6,1993,680,1470,2,3,TA,6,420,185000
97,10264,7,1999,1588,1588,2,3,Gd,6,472,214000
98,10921,4,1965,960,960,1,3,TA,6,432,94750
99,10625,5,1920,458,835,1,2,TA,5,366,83000
100,9320,4,1959,950,1225,1,3,TA,6,0,128950
101,10603,6,1977,1610,1610,2,3,Gd,6,480,205000
102,9206,6,1985,741,1732,2,3,Gd,7,476,178000
103,7018,5,1979,0,1535,2,4,TA,8,410,118964
104,10402,7,2009,1226,1226,2,3,Gd,6,740,198900
105,7758,7,1931,1040,1818,1,4,TA,7,240,169500
106,9375,8,2003,1053,1992,2,3,Gd,9,648,250000
107,10800,4,1885,641,1047,1,2,TA,6,273,100000
108,6000,5,1948,789,789,1,2,TA,5,250,115000
109,8500,5,1919,793,1517,2,3,Fa,7,0,115000
110,11751,6,1977,1844,1844,2,3,TA,7,546,190000
111,9525,6,1954,994,1855,2,4,TA,7,325,136900
112,7750,7,2000,384,1430,2,3,TA,7,400,180000
113,9965,7,2007,1264,2696,2,4,Ex,10,792,383970
114,21000,6,1953,1809,2259,2,3,Gd,7,450,217000
115,7259,6,1945,1028,2320,2,3,Gd,9,180,259500
116,3230,6,1999,729,1458,2,2,TA,5,440,176000
117,11616,5,1962,1092,1092,1,3,TA,6,288,139000
118,8536,5,2006,1125,1125,1,2,TA,5,430,155000
119,12376,7,1990,1673,3222,3,5,Gd,11,594,320000
120,8461,6,2005,728,1456,2,3,Gd,8,390,163990
121,21453,6,1969,938,988,1,1,TA,4,540,180000
122,6060,4,1939,732,1123,1,3,TA,4,264,100000
123,9464,6,1958,1080,1080,1,3,TA,5,288,136000
124,7892,6,1993,1199,1199,2,2,Gd,5,530,153900
125,17043,6,1979,1362,1586,2,3,TA,7,435,181000
126,6780,6,1935,520,754,1,2,TA,5,0,84500
127,4928,6,1976,1078,958,2,2,TA,5,440,128000
128,4388,5,1930,672,840,1,3,TA,5,0,87000
129,7590,6,1966,660,1348,1,3,TA,6,453,155000
130,8973,5,1958,1008,1053,1,3,Ex,6,750,150000
131,14200,7,1966,924,2157,2,4,Gd,8,487,226000
132,12224,6,2000,992,2054,2,3,Gd,7,390,244000
133,7388,5,1959,1063,1327,1,3,Gd,7,624,150750
134,6853,8,2001,1267,1296,2,2,Gd,6,471,220000
135,10335,5,1968,1461,1721,2,3,TA,7,440,180000
136,10400,7,1970,1304,1682,2,3,TA,7,530,174000
137,10355,5,1967,1214,1214,2,3,TA,5,318,143000
138,11070,7,1988,1907,1959,3,5,TA,9,766,171000
139,9066,8,1999,1004,1852,2,3,Gd,7,660,230000
140,15426,6,1997,928,1764,2,3,Gd,7,470,231500
141,10500,4,1971,864,864,1,3,TA,5,0,115000
142,11645,7,2005,1734,1734,2,3,Gd,7,660,260000
143,8520,5,1952,910,1385,2,4,TA,6,720,166000
144,10335,7,1999,1490,1501,2,3,Gd,6,577,204000
145,9100,5,1963,1728,1728,2,6,TA,10,504,125000
146,2522,6,2004,970,1709,2,3,Gd,7,380,130000
147,6120,5,1931,715,875,1,2,TA,5,180,105000
148,9505,7,2001,884,2035,2,3,Gd,8,434,222500
149,7500,7,2004,1080,1080,1,3,Gd,6,0,141000
150,6240,5,1936,896,1344,1,3,TA,7,240,115000
151,10356,5,1975,969,969,1,3,TA,5,440,122000
152,13891,8,2007,1710,1710,2,2,Gd,6,866,372402
153,14803,6,1971,825,1993,2,4,TA,8,495,190000
154,13500,6,1960,1602,1252,1,1,TA,4,564,235000
155,11340,6,1923,1200,1200,1,4,TA,7,312,125000
156,9600,6,1924,572,1096,1,2,TA,5,0,79000
157,7200,5,1950,0,1040,1,2,TA,5,625,109500
158,12003,8,2009,774,1968,2,4,Ex,8,680,269500
159,12552,7,2004,991,1947,2,3,Gd,8,678,254900
160,19378,7,2005,1392,2462,2,4,Gd,9,576,320000
161,11120,6,1984,1232,1232,2,3,TA,6,516,162500
162,13688,9,2003,1572,2668,2,3,Ex,10,726,412500
163,12182,7,2005,1541,1541,2,3,Gd,7,532,220000
164,5500,4,1956,882,882,1,1,TA,4,0,103200
165,5400,6,1926,1149,1616,2,3,Gd,5,216,152000
166,10106,5,1940,644,1355,2,4,TA,6,0,127500
167,10708,5,1955,1617,1867,1,2,TA,7,303,190000
168,10562,8,2007,1582,2161,1,3,Ex,8,789,325624
169,8244,7,2004,840,1720,2,3,Gd,7,440,183500
170,16669,8,1981,1686,1707,2,2,TA,6,511,228000
171,12358,5,1941,720,1382,1,2,TA,7,660,128500
172,31770,6,1960,1080,1656,1,3,TA,7,528,215000
173,5306,7,1987,1064,1767,2,2,Gd,5,504,239000
174,10197,6,1961,1362,1362,1,3,TA,6,504,163000
175,12416,6,1986,1606,1651,2,3,TA,7,616,184000
176,12615,6,1950,1202,2158,2,4,Gd,7,576,243000
177,10029,6,1988,1151,2060,2,4,TA,8,521,211000
178,13650,5,1958,1052,1920,2,4,Gd,8,451,172500
179,17423,9,2008,2216,2234,2,1,Ex,9,1166,501837
180,8520,5,1923,968,968,1,2,TA,5,480,100000
181,2117,6,2000,756,1525,2,3,Gd,5,440,177000
182,7588,7,1920,793,1802,1,4,TA,9,216,200100
183,9060,5,1957,0,1340,1,3,TA,7,252,120000
184,11426,7,2003,1362,2082,2,3,Gd,6,484,200000
185,7438,5,1908,504,1252,1,3,TA,5,576,127000
186,22950,10,1892,1107,3608,2,4,Ex,12,840,475000
187,9947,7,1990,1188,1217,2,3,Gd,6,497,173000
188,10410,5,1916,660,1656,2,3,TA,8,180,135000
189,7018,5,1979,1086,1224,0,2,TA,6,528,153337
190,4923,8,2001,1593,1593,1,0,Ex,5,682,286000
191,10570,8,1932,853,2727,2,3,Gd,10,440,315000
192,7472,7,1972,725,1479,1,4,Gd,7,484,184000
193,9017,7,1999,1431,1431,2,3,Gd,6,666,192000
194,2522,7,2004,970,1709,2,3,Gd,7,380,130000
195,7180,5,1972,864,864,1,3,TA,5,352,127000
196,2280,6,1976,855,1456,2,3,TA,7,440,148500
197,9416,7,2007,1726,1726,2,3,Ex,8,786,311872
198,25419,8,1918,1360,3112,2,4,Gd,8,795,235000
199,5520,6,1912,755,2229,1,5,TA,8,0,104000
200,9591,8,2004,1713,1713,2,3,Ex,7,856,274900
201,8546,4,2003,1121,1121,2,2,TA,5,440,140000
202,10125,6,1977,1196,1279,2,3,TA,6,473,171500
203,7000,6,1924,617,1310,2,2,TA,6,398,112000
204,4438,6,2004,848,848,1,1,Gd,3,420,149000
205,3500,5,1947,720,1284,1,2,TA,5,240,110000
206,11851,7,1990,1424,1442,2,3,TA,5,500,180500
207,13673,5,1962,1140,1696,1,3,TA,8,349,143900
208,12493,4,1960,1100,1100,1,3,TA,6,312,141000
209,14364,7,1988,1157,2062,2,3,TA,7,454,277000
210,8250,6,1964,1092,1092,1,3,TA,6,504,145000
211,5604,5,1925,864,864,1,2,TA,5,0,98000
212,10420,6,2009,1212,1212,2,3,Gd,6,460,186000
213,8640,7,2009,900,1852,2,3,Gd,7,644,252678
214,13568,5,1995,990,990,1,3,TA,5,576,156000
215,10900,6,1977,689,1392,1,3,TA,6,299,161750
216,10011,5,1957,1070,1236,1,2,Gd,6,447,134450
217,8450,7,2004,1436,1436,2,3,Gd,8,484,210000
218,9906,4,1925,686,1328,1,3,TA,8,210,107000
219,15660,7,1939,798,1954,1,3,Gd,8,431,311500
220,3010,7,2005,1248,1248,2,2,Gd,5,438,167240
221,8990,7,2006,1498,1498,2,2,Gd,5,675,204900
222,8068,6,2002,1010,2267,2,4,Gd,8,390,200000
223,11475,6,1975,713,1552,2,3,TA,6,434,179900
224,10500,4,1971,864,864,1,2,TA,4,576,97000
225,13472,10,2003,2392,2392,2,3,Ex,8,968,386250
226,1680,5,1971,630,1302,2,3,TA,6,280,112000
227,9950,7,1995,1203,2520,2,4,Gd,9,721,290000
228,1869,6,1970,483,987,1,2,TA,5,280,106000
229,8521,5,1967,912,912,1,3,TA,5,336,125000
230,3182,7,2005,1373,1555,2,2,Gd,7,430,192500
231,8760,6,1959,1194,1194,1,3,TA,6,312,148000
232,15138,8,1995,1462,2794,2,4,Ex,9,810,403000
233,1680,6,1972,483,987,1,2,TA,5,288,94500
234,10650,5,1976,894,894,1,3,TA,5,308,128200
235,7851,6,2002,860,1960,2,4,Gd,8,440,216500
236,1680,6,1971,483,987,1,2,TA,5,264,89500
237,8773,7,2004,1414,1414,2,3,Gd,6,494,185500
238,9453,7,1993,996,1744,2,3,Gd,7,457,194500
239,12030,8,2007,1694,1694,2,3,Gd,7,818,318000
240,8741,6,1945,735,1487,1,3,TA,7,220,113000
241,9000,8,2008,1566,1566,2,3,Gd,7,750,262500
242,3880,5,1945,686,866,1,2,Gd,4,0,110500
243,5000,5,1900,540,1440,1,3,TA,6,352,79000
244,10762,6,1980,626,1217,1,3,TA,6,288,120000
245,8880,7,1994,948,2110,2,3,Gd,8,463,205000
246,10400,7,1988,1845,1872,2,3,TA,6,604,241500
247,9142,6,1910,1020,1928,2,4,Fa,9,440,137000
248,11310,6,1954,1367,1375,1,2,TA,5,451,140000
249,11317,7,2003,840,1668,2,3,Gd,8,500,180000
250,159000,6,1958,1444,2144,2,4,Gd,7,389,277000
251,5350,3,1940,728,1306,1,3,Fa,6,0,76500
252,4750,8,2006,1573,1625,2,2,Gd,5,538,235000
253,8366,6,2004,798,1640,2,3,Gd,6,520,173000
254,9350,6,1964,1302,1302,2,3,Gd,7,309,158000
255,8400,5,1957,1314,1314,1,3,TA,5,294,145000
256,8738,7,1999,975,2291,2,4,Gd,8,429,230000
257,8791,6,2003,864,1728,2,3,Gd,7,673,207500
258,8814,7,2006,1604,1604,2,3,Gd,8,660,220000
259,12435,7,2001,963,1792,2,3,Gd,7,564,231500
260,12702,5,1956,0,882,1,2,TA,4,308,97000
261,19296,6,1962,1362,1382,1,3,TA,6,884,176000
262,9588,8,2007,1482,2574,2,3,Ex,10,868,276000
263,8471,6,1977,506,1212,1,3,TA,6,492,151000
264,5500,5,1929,926,1316,1,3,TA,6,484,130000
265,5232,5,1925,680,764,1,2,TA,4,504,73000
266,12090,6,1981,1422,1422,2,3,Gd,7,576,175500
267,11207,6,1997,802,1511,2,3,TA,8,413,185000
268,8400,5,1939,720,2192,2,4,Gd,8,240,179500
269,6900,5,1940,740,778,1,2,TA,4,924,120500
270,7917,6,1976,1143,1113,1,3,TA,6,504,148000
271,10728,8,2006,1095,1939,2,3,Gd,8,1053,266000
272,39104,7,1954,1385,1363,1,2,TA,5,439,241500
273,11764,8,1999,1152,2270,2,4,Gd,9,671,290000
274,9600,6,1958,1240,1632,2,3,TA,6,338,139000
275,8314,5,1982,816,816,1,2,TA,5,264,124500
276,7264,7,1925,952,1548,2,3,Ex,5,672,205000
277,9196,7,2003,1560,1560,2,3,Gd,7,573,201000
278,19138,4,1951,864,864,1,2,TA,4,400,141000
279,14450,9,2006,2121,2121,2,3,Ex,8,732,415298
280,10005,7,1977,1160,2022,2,4,TA,8,505,192000
281,11287,7,1989,807,1982,2,3,Gd,7,575,228500
282,7200,6,2006,1262,1262,2,2,Gd,5,572,185000
283,5063,7,2007,1314,1314,2,2,Gd,6,626,207500
284,9612,8,2008,1468,1468,2,3,Gd,6,898,244600
285,8012,6,1992,1575,1575,2,2,Gd,5,529,179200
286,4251,7,2006,625,1250,2,2,Gd,5,528,164700
287,9786,6,1962,912,1734,1,3,Gd,7,440,159000
288,8125,4,1971,858,858,1,3,TA,5,0,88000
289,9819,5,1967,882,900,1,3,TA,5,280,122000
290,8730,6,1915,698,1396,1,3,TA,7,384,153575
291,15611,8,2006,1079,1919,2,3,Gd,8,685,233230
292,5687,5,1912,780,1716,2,6,Fa,9,0,135900
293,11409,5,1949,768,1716,1,3,TA,8,281,131000
294,16659,7,1977,795,2263,2,3,Gd,9,539,235000
295,9600,6,1953,1416,1644,1,3,TA,7,418,167000
296,7937,6,1984,1003,1003,1,3,TA,6,588,142500
297,13710,5,1950,910,1558,1,4,TA,6,282,152000
298,7399,7,1997,975,1950,2,3,Gd,7,576,239000
299,11700,6,1968,702,1743,1,3,TA,7,539,175000
300,14000,6,1950,1092,1152,1,3,Gd,6,300,158500
301,15750,5,1953,1165,1336,1,2,TA,5,375,157000
302,16226,8,1998,1028,2452,2,4,Gd,9,683,267000
303,13704,7,2001,1541,1541,2,3,Gd,6,843,205000
304,9800,5,1972,894,894,1,3,TA,5,552,149900
305,18386,7,1880,1470,3493,3,3,Gd,10,870,295000
306,10386,8,2004,2000,2000,2,3,Gd,8,888,305900
307,13474,7,1990,700,2243,2,4,Gd,8,746,225000
308,7920,6,1920,319,1406,1,3,Fa,6,0,89500
309,12342,4,1940,861,861,1,1,TA,4,539,82500
310,12378,9,2003,1896,1944,2,3,Ex,8,708,360000
311,7685,6,1993,697,1501,2,3,Gd,6,420,165600
312,8000,6,1948,972,972,1,2,TA,5,240,132000
313,7800,5,1939,793,1118,1,3,TA,5,410,119900
314,215245,7,1965,2136,2036,2,3,TA,8,513,375000
315,9600,7,1925,728,1641,1,3,Ex,6,546,178000
316,7795,7,2004,716,1432,2,3,Gd,6,432,188500
317,13005,7,1980,845,2353,2,4,Ex,10,484,260000
318,9000,8,2006,1088,1959,2,3,Gd,8,1025,270000
319,9900,7,1993,1347,2646,2,4,Gd,9,656,260000
320,14115,7,1980,1372,1472,2,3,TA,6,588,187500
321,16259,9,2006,1249,2596,3,4,Gd,9,840,342643
322,12099,8,2004,1136,2468,2,4,Gd,10,872,354000
323,10380,7,1986,1502,2730,2,4,Gd,8,576,301000
324,5820,3,1955,1162,1163,1,3,TA,6,220,126175
325,11275,7,1967,710,2978,2,5,Gd,11,564,242000
326,5000,5,1941,720,803,1,2,TA,5,360,87000
327,10846,8,1993,1719,1719,1,1,Gd,6,473,324000
328,11600,6,1960,1383,1383,1,3,TA,7,292,145250
329,11888,6,1916,844,2134,2,5,Gd,10,441,214500
330,6402,5,1920,596,1192,1,3,TA,6,189,78000
331,10624,5,1964,1728,1728,2,6,TA,10,352,119000
332,8176,5,1958,1056,1056,1,3,TA,6,308,139000
333,10655,8,2003,3206,1629,2,3,Gd,7,880,284000
334,8198,7,2004,1358,1358,2,2,Gd,6,484,207000
335,9042,6,1998,943,1638,2,3,TA,7,472,192000
336,164660,5,1965,1499,1786,2,3,TA,7,529,228950
337,14157,9,2005,1922,1922,2,3,Gd,8,676,377426
338,9135,7,2002,1536,1536,2,3,Gd,7,532,214000
339,14145,7,1984,1208,1621,2,3,Gd,8,440,202500
340,12400,6,1958,1215,1215,1,3,TA,6,297,155000
341,14191,8,2002,967,1908,2,4,Gd,9,431,202900
342,8400,4,1950,721,841,1,2,TA,4,294,82000
343,8544,3,1949,0,1040,2,2,TA,6,400,87500
344,8849,9,2005,1684,1684,2,2,Ex,6,564,266000
345,2592,5,1976,536,1112,1,3,TA,4,336,85000
346,6435,6,1939,972,1577,1,3,Fa,6,312,140200
347,12772,6,1960,958,958,1,2,TA,5,301,151500
348,17600,6,1960,1478,1478,2,3,TA,6,498,157500
349,2448,7,2003,764,1626,2,2,Gd,6,474,154000
350,20431,9,2005,1848,2728,2,4,Ex,10,706,437154
351,7820,9,2007,1869,1869,2,2,Ex,6,617,318061
352,5271,7,1986,1453,1453,1,2,Gd,6,445,190000
353,9084,5,1941,616,1111,1,3,TA,5,200,95000
354,8520,6,1928,624,720,1,2,TA,5,484,105900
355,8400,6,1940,940,1595,1,2,TA,6,240,140000
356,11249,6,1995,1200,1200,2,3,Gd,6,521,177500
357,9248,6,1992,1158,1167,2,3,Gd,6,400,173000
358,4224,5,1976,1142,1142,1,3,TA,6,528,134000
359,6930,5,1958,1062,1352,1,3,Gd,6,288,130000
360,12011,8,1998,1086,1924,2,3,Gd,7,592,280000
361,7540,6,1978,888,912,1,2,TA,5,470,156000
362,9144,5,1940,883,1505,1,3,TA,8,240,145000
363,7301,7,2003,0,1922,3,4,Gd,7,672,198500
364,1680,6,1972,483,987,1,2,Gd,5,264,118000
365,18800,6,1976,796,1574,2,3,TA,6,566,190000
366,10690,5,1920,672,1344,1,3,TA,6,468,147000
367,9500,6,1963,1394,1394,1,3,TA,6,514,159000
368,9150,6,1962,1099,1431,1,3,TA,6,296,165000
369,7800,5,1954,1268,1268,1,2,TA,7,244,132000
370,9830,5,1959,1063,1287,1,3,Gd,7,576,162000
371,8121,6,2000,953,1664,2,3,TA,7,460,172400
372,17120,4,1959,0,1588,2,4,TA,7,680,134432
373,7175,6,1984,744,752,1,2,TA,4,264,125000
374,10634,5,1953,608,1319,1,3,TA,5,270,123000
375,8200,7,2003,847,1928,2,4,Gd,8,434,219500
376,10020,1,1922,683,904,0,1,Fa,4,0,61000
377,8846,5,1996,870,914,1,2,TA,5,576,148000
378,11143,8,2004,1580,2466,3,4,Gd,8,610,340000
379,11394,9,2010,1856,1856,1,1,Ex,8,834,394432
380,8123,6,2000,982,1800,2,3,TA,7,463,179000
381,5000,5,1924,1026,1691,2,3,Gd,6,308,127000
382,7200,7,2006,1293,1301,2,2,Gd,5,572,187750
383,9245,7,2006,939,1797,2,3,Gd,8,639,213500
384,9000,6,1928,784,784,1,2,TA,5,360,76000
385,53107,6,1992,1580,1953,2,3,Gd,9,501,240000
386,3182,8,2004,1256,1269,2,2,Gd,6,430,192000
387,8410,5,1910,658,1184,1,5,TA,8,0,81000
388,7200,6,1976,1041,1125,1,3,TA,6,352,125000
389,9382,7,1999,1468,1479,2,3,Gd,6,577,191000
390,12474,10,2007,1682,2332,2,3,Ex,9,846,426000
391,8405,5,1900,861,1367,1,4,TA,7,384,119000
392,12209,6,2001,804,1961,2,3,Gd,7,560,215000
393,8339,5,1959,0,882,1,3,TA,5,294,106500
394,7446,4,1941,788,788,1,2,TA,4,0,100000
395,10134,5,1940,735,1034,1,2,TA,5,240,109000
396,9571,5,1956,1144,1144,1,3,TA,6,596,129000
397,7200,5,1972,894,894,1,2,TA,6,600,123000
398,7590,5,1962,864,1812,2,4,TA,8,264,169500
399,8967,5,1920,961,1077,1,2,TA,6,338,67000
400,8125,7,2006,1092,1550,2,2,Gd,7,438,241000
401,14963,8,1996,1260,1288,1,1,Ex,4,500,245500
402,8767,7,2005,1310,1310,2,3,Gd,6,400,164990
403,10200,5,1940,672,672,1,2,TA,4,240,108000
404,12090,8,1998,1141,2263,2,4,Gd,10,420,258000
405,10364,6,1995,806,1572,2,3,TA,7,373,168000
406,9991,4,1976,1281,1620,2,3,TA,8,490,150000
407,10480,6,1936,1064,1639,1,3,TA,6,240,115000
408,15576,6,1915,840,1680,2,4,TA,8,308,177000
409,14154,7,2006,1063,2172,2,3,Gd,9,947,280000
410,10800,8,2007,1034,2078,2,3,Ex,8,836,339750
411,9571,5,1958,1276,1276,1,3,TA,5,350,60000
412,34650,5,1955,1056,1056,1,3,TA,5,572,145000
413,4403,7,2009,1470,1478,2,2,Gd,7,484,222000
414,8960,5,1927,1008,1028,1,2,TA,5,360,115000
415,11228,7,1993,1080,2097,2,3,Gd,9,678,228000
416,8899,7,2007,1340,1340,2,3,Gd,6,396,181134
417,7844,6,1978,672,1400,1,3,TA,6,440,149500
418,22420,6,1918,1370,2624,2,4,TA,10,864,239000
419,8160,5,1940,756,1134,1,3,TA,7,240,126000
420,8450,5,1968,1056,1056,1,3,TA,6,304,142000
421,7060,7,1997,1344,1344,2,2,TA,8,784,206300
422,16635,6,1977,1602,1602,2,3,Gd,8,529,215000
423,21750,5,1954,988,988,1,2,TA,4,520,113000
424,9200,8,1998,1470,2630,2,4,Gd,8,696,315000
425,9000,6,1956,1196,1196,1,2,TA,6,297,139000
426,3378,7,1946,651,1389,1,3,TA,6,240,135000
427,12800,7,1989,1518,1644,2,2,Gd,5,569,275000
428,8593,4,1957,907,907,1,3,TA,5,352,109008
429,6762,7,2007,1208,1208,2,2,Gd,6,628,195400
430,11457,6,1988,1392,1412,2,3,Gd,6,576,175000
431,1680,6,1971,483,987,1,2,TA,4,264,85400
432,5586,6,1920,901,1198,1,4,TA,7,0,79900
433,1920,5,1971,765,1365,1,2,TA,6,440,122500
434,10839,6,1997,926,1604,2,3,TA,7,470,181000
435,1890,4,1972,630,630,1,1,TA,3,0,81000
436,10667,7,1996,799,1661,2,3,Gd,6,550,212000
437,4400,6,1920,648,1118,1,2,TA,6,440,116000
438,6000,6,1926,884,904,1,2,TA,4,180,119000
439,4280,5,1913,440,694,1,2,Gd,4,352,90350
440,12354,6,1920,684,1196,1,3,Gd,7,528,110000
441,15431,10,2008,3094,2402,2,2,Ex,10,672,555000
442,12108,4,1955,1440,1440,2,4,Fa,8,0,118000
443,6240,5,1930,1078,1573,2,3,TA,8,360,162900
444,3922,7,2006,1258,1258,2,2,Gd,6,648,172500
445,8750,7,1994,915,1908,2,4,Gd,8,493,210000
446,9855,6,1956,1436,1689,1,3,TA,7,480,127500
447,16492,6,1966,1517,1888,2,2,Gd,6,578,190000
448,11214,7,1998,930,1886,2,4,Gd,10,431,199900
449,8600,6,1937,780,1376,2,3,TA,7,198,119500
450,6000,3,1948,649,1183,1,2,TA,6,308,120000
451,5684,6,1930,813,813,1,2,Gd,5,270,110000
452,70761,7,1975,1533,1533,2,2,Gd,5,576,280000
453,9303,6,1996,872,1756,2,3,TA,7,422,204000
454,9000,8,2008,768,1590,2,3,Gd,6,676,210000
455,9297,5,1976,1728,1728,2,4,TA,8,560,188000
456,9600,7,1973,1242,1242,1,3,TA,6,528,175500
457,4571,5,1916,624,1344,1,4,TA,7,513,98000
458,53227,4,1954,1364,1663,1,2,Gd,6,529,256000
459,5100,8,1925,588,1666,1,3,Gd,7,228,161000
460,7015,5,1950,709,1203,1,3,Gd,5,352,110000
461,8004,8,2009,832,1935,2,3,TA,8,552,263435
462,7200,7,1936,560,1135,1,3,Gd,6,576,155000
463,8281,5,1965,864,864,1,3,TA,5,360,62383
